Das Geld der Welt: Die Alte Welt - Eurasien;Regal 1;Ebene 7;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Band 30: The Punisher - War Zone;Regal 3;Ebene 7;Chuck Dixon;Marvel Exklusiv;272;1992-1993
Band 31: The Punisher - Psychoville;Regal 3;Ebene 7;Pan Abnett & Andy Lanning;Marvel Exklusiv;112;1993
Band 33: X-Men - Kinder des Atom;Regal 3;Ebene 7;Joe Casey;Marvel Exklusiv;160;1999-2000
Band 36: Galactus - Der Welten Verschlinger;Regal 3;Ebene 7;Louise Simonson;Marvel Exklusiv;176;1999-2000
Band 38: X-Men aller Zeiten;Regal 3;Ebene 7;Fabian Nicieza;Marvel Exklusiv;160;2001
Band 39: X-Force;Regal 3;Ebene 7;Peter Milligan;Marvel Exklusiv;160;2001-2002
Band 41: Captain Marvel;Regal 3;Ebene 7;Peter David;Marvel Exklusiv;160;1999-2000
Band 42: Daredevil - Kopfgeld;Regal 3;Ebene 7;Brian Michael Bendis;Marvel Exklusiv;144;2001-2002
Band 44: Hulk - Dystopia;Regal 3;Ebene 7;Peter David;Marvel Exklusiv;144;1992
Band 45: Carnage;Regal 3;Ebene 7;David Michelinie & Warren Ellis;Marvel Exklusiv;144;1992-1996
Band 46: Daredevil - Ende eines Helden;Regal 3;Ebene 7;Brian Michael Bendis;Marvel Exklusiv;144;2002
Band 47: Die Spider-Man Akten II;Regal 3;Ebene 7;James Owsley, Roy Thomas & Gerry Conway;Marvel Exklusiv;128;1987+1992
Band 50: Spider-Man;Regal 3;Ebene 7;Todd McFarlane;Marvel Exklusiv;192;1989-1990
Band 51: Spider-Man;Regal 3;Ebene 7;Todd McFarlane;Marvel Exklusiv;208;1989-1991
Band 52: The Punisher;Regal 3;Ebene 7;Carl Potts;Marvel Exklusiv;176;1988-1989
Band 78: Captain Britain;Regal 3;Ebene 7;Alan Moore;Marvel Exklusiv;204;1982-1984
Cloak und Dagger: Ein Licht in der Finsternis;Regal 4;Ebene 7;Mike Baron, Bill Mantlo, Stuart Moore, Nick Spencer & Brian K. Vaughan;Marvel Sonderband;184;1982-2011
Silver Surfer: Parabel;Regal 4;Ebene 7;Stan Lee;Marvel Hardcover;168;1988/2012
Daredevil: Der Mann ohne Furcht;Regal 4;Ebene 7;Frank Miller;Das erste Jahr von .... Daredevil;156;1993-1994
The Infinity Gauntlet - Die ewige Fehde;Regal 4;Ebene 7;Jim Starlin;Marvel Sonderband;256;1991
X-Men - Ein neuer Anfang;Regal 4;Ebene 7;Chris Claremont, Jim Lee, John Byrne & Scott Lobdell;Marvel Sonderband;184;1991
Venom - Tödlicher Beschützer;Regal 4;Ebene 7;David Michelinie Carl Potts;Marvel Sonderband;220;1993
Spider-Man: Maximum Carnage Band 1;Regal 4;Ebene 7;Tom DeFalco, J.M. DeMatteis, Terry Kavanagh & David Micheline;Marvel Sonderband;176;1993
The Infinity Gauntlet - Das ewige Paradies;Regal 4;Ebene 7;Jim Starlin;Marvel Sonderband;256;1993
Spider-Man: Maximum Carnage Band 2;Regal 4;Ebene 7;Tom DeFalco, J.M. DeMatteis, Terry Kavanagh & David Micheline;Marvel Sonderband;176;1993
Deadpool - Band 1: Mörder, Miezen und Moneten;Regal 4;Ebene 7;Fabian Nicieza & Mark Waid;Deadpool Killer-Kollektion;196;1993-1994
Spider-Man - Die Klon-Saga: Band 1;Regal 4;Ebene 7;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh & Howard Mackie;Spider-Man: Die Klon-Saga;236;1994
Spider-Man - Die Klon-Saga: Band 2;Regal 4;Ebene 7;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh & Howard Mackie;Spider-Man: Die Klon-Saga;292;1995
