Das Geld der Welt: Die Alte Welt - Eurasien;Ebene 7;Regal 1;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Das Geld der Welt: Die Alte Welt - Afrika;;Regal 1;In Arbeit - Vorhanden: Ägypten, Namibia, Seychellen, Südafrika;3. Elemente der Welt - Geld, Geschichte und Reisen;4 Sätze;2002-2017
Das Geld der Welt: Die Neue Welt - Amerika;Ebene 7;Regal 1;Bahamas, Costa Rica, Jamaika, Kanada, Mexiko, Ostkaribische Staaten, Trinidad und Tobago, Vereinigte Staaten von Amerika, Brasilien, Argentinien, Venezuela;3. Elemente der Welt - Geld, Geschichte und Reisen;11 Sätze;1979-2018
Das Geld der Welt: Die Neue Welt - Ozeanien;;Regal 1;In Arbeit - Vorhanden: Australien, Neuseeland, Papua-Neuguinea;3. Elemente der Welt - Geld, Geschichte und Reisen;3 Sätze;2004-2014
Das Geld der Welt: Die 2-Euro-Gedenkmünzen;Ebene 7;Regal 1;In Arbeit;3. Elemente der Welt - Geld, Geschichte und Reisen;????;Ab 2002
Die echte Kölsche Küche-Et Orjenal;Ebene 7;Regal 1;Jens Dreisbach und Verlagsarchiv (Komet);4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;144;2015
Omas schönste Kochrezepte;Ebene 7;Regal 1;Herausgeber Naumann & Göbel;4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;160;2012
Raffinierte Köstlichkeiten der Welt - Gebäck;Ebene 7;Regal 1;Sylvia Winnewisser;4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;256;2000
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Star Wars: Lexikon der Helden, Schurken und Droiden;Ebene 7;Regal 6;Simon Beecroft;Star Wars;208;2011/2012
Star Wars: Kampf um die Galaxies;Ebene 7;Regal 6;Daniel Wallace;Star Wars;96;2011
Star Wars: Das geheime Wissen der Jedi;Ebene 7;Regal 6;Elisabeth Dowsett und Shari Last;Star Wars;96;2011
Star Wars: Die geheime Welt der Droiden;Ebene 7;Regal 6;Jason Fry;Star Wars;96;2012
Star Wars: Hüte dich vor den Sith;Ebene 7;Regal 6;Shari Last;Star Wars;96;2012
Star Wars - Cosmic Shells;Ebene 7;Regal 6;Rewe Markengroup;Star Wars;5;2015
Star Wars: The Essential Atlas;Ebene 7;Regal 6;Daniel Wallace & Jason Fry;Star Wars;244;2009
Star Wars - Schauplätze und Planeten;Ebene 7;Regal 6;Kristin Lund, Simon Beecroft, Kerrie Dougherty, James Luceno und Jason Fry;Star Wars;188;2016
Star Wars The Clone Wars - Raumschiffe und Fahrzeuge;Ebene 7;Regal 6;Jason Fry;Star Wars;128;2012
LEGO Star Wars - Lexikon der Figuren, Raumschiffe und Droiden;Ebene 7;Regal 6;Simon Beecroft;Star Wars;96;2009
Star Wars - Die illustrierte Chronik der kompletten Saga (Episode I bis VI);Ebene 7;Regal 6;Ryder Windham;Star Wars;160;2005/2011
